disease_area,disease,phase,outcome_normalized,outcome_trial_count,phase_trial_count,percentage,outcome_position
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 3,PERCENTAGE OF PATIENTS WITH RECOVERY,2,17,11.7647,10
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 3,TOTAL SYMPTOM SCORE,2,17,11.7647,12
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 3,VENTILATOR-FREE DAYS,2,17,11.7647,2
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 4,AIRWAY SEAL PRESSURE,1,10,10.0000,15
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 4,ANTIBIOTIC SPARING,1,10,10.0000,19
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 4,ASPIRATION PNEUMONIA,1,10,10.0000,20
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 4,CHANGE FROM BASELINE IN TOTAL SYMPTOM SCORE OF WURSS-21,1,10,10.0000,21
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 4,FAILED INTUBATION,1,10,10.0000,22
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 4,FIRST PASS SUCCESS,1,10,10.0000,23
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 4,GLOTTIC VIEW ASSESSMENT,1,10,10.0000,24
Disorder of endocrine system,Addison's Disease,Phase 1,AUC FROM 0 TO INFINITY,1,2,50.0000,6
Disorder of endocrine system,Addison's Disease,Phase 1,AUC OF METABOLITE M-1,1,2,50.0000,10
Disorder of endocrine system,Addison's Disease,Phase 1,AUC(0-168),1,2,50.0000,11
Disorder of endocrine system,Addison's Disease,Phase 1,AUC0-T FOR SERUM CORTISOL,1,2,50.0000,12
Disorder of endocrine system,Addison's Disease,Phase 1,CHANGE IN INSULIN SENSITIVITY,1,2,50.0000,14
Disorder of endocrine system,Addison's Disease,Phase 1,CORTISOL BINDING PROTEIN CONCENTRATION,1,2,50.0000,17
Disorder of endocrine system,Addison's Disease,Phase 1,MAXIMUM PLASMA CONCENTRATION,1,2,50.0000,21
Disorder of endocrine system,Addison's Disease,Phase 2,ABSOLUTE ACTH LEVEL,1,4,25.0000,2
Disorder of endocrine system,Addison's Disease,Phase 2,ACTH AREA UNDER THE CURVE - 24 HOURS,1,4,25.0000,3
Disorder of endocrine system,Addison's Disease,Phase 2,ACTH AREA UNDER THE CURVE - MIDDAY,1,4,25.0000,4
Disorder of endocrine system,Addison's Disease,Phase 2,ACTH AUC NIGHTTIME,1,4,25.0000,5
Disorder of endocrine system,Addison's Disease,Phase 2,AUC OF 17-OHP,1,4,25.0000,7
Disorder of endocrine system,Addison's Disease,Phase 2,AUC OF 17-OHP DAYTIME,1,4,25.0000,8
Disorder of endocrine system,Addison's Disease,Phase 2,AUC OF 17-OHP NIGHTTIME,1,4,25.0000,9
Disorder of endocrine system,Addison's Disease,Phase 3,30-DAY MORTALITY,1,3,33.3333,0
Disorder of endocrine system,Addison's Disease,Phase 3,90-DAY MORTALITY,1,3,33.3333,1
Disorder of endocrine system,Addison's Disease,Phase 3,CHANGE IN TANNER DEVELOPMENT STAGE,1,3,33.3333,15
Disorder of endocrine system,Addison's Disease,Phase 3,CHOLESTEROL ESTERIFICATION DEFICIENCY,1,3,33.3333,16
Disorder of endocrine system,Addison's Disease,Phase 3,CORTISOL LEVELS,1,3,33.3333,18
Disorder of endocrine system,Addison's Disease,Phase 3,GROWTH VELOCITY SDS,1,3,33.3333,19
Disorder of endocrine system,Addison's Disease,Phase 3,INCIDENCE OF SERIOUS ADVERSE EVENTS,1,3,33.3333,20
Disorder of endocrine system,Addison's Disease,Phase 4,CHANGE IN COGNITION SCORE,1,1,100.0000,13
Disorder of eye,Age-Related Macular Degeneration,Phase 1,TIME TO MAXIMUM CONCENTRATION,5,9,55.5556,10
Disorder of eye,Age-Related Macular Degeneration,Phase 1,MAXIMUM PLASMA CONCENTRATION,3,9,33.3333,13
Disorder of eye,Age-Related Macular Degeneration,Phase 1,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,2,9,22.2222,16
Disorder of eye,Age-Related Macular Degeneration,Phase 1,CHANGE IN BLOOD PRESSURE,2,9,22.2222,18
Disorder of eye,Age-Related Macular Degeneration,Phase 1,MEAN RESIDENCE TIME,2,9,22.2222,19
Disorder of eye,Age-Related Macular Degeneration,Phase 1,PLASMA DRUG CONCENTRATION,2,9,22.2222,4
Disorder of eye,Age-Related Macular Degeneration,Phase 1,AREA OF LEAKAGE,1,9,11.1111,20
Disorder of eye,Age-Related Macular Degeneration,Phase 2,CHANGE IN BEST CORRECTED VISUAL ACUITY,11,85,12.9412,1
Disorder of eye,Age-Related Macular Degeneration,Phase 2,CHANGE FROM BASELINE IN BEST CORRECTED VISUAL ACUITY,9,85,10.5882,0
Disorder of eye,Age-Related Macular Degeneration,Phase 2,CHANGE FROM BASELINE IN BCVA,8,85,9.4118,3
Disorder of eye,Age-Related Macular Degeneration,Phase 2,MEAN CHANGE IN BEST CORRECTED VISUAL ACUITY,7,85,8.2353,2
Disorder of eye,Age-Related Macular Degeneration,Phase 2,PLASMA DRUG CONCENTRATION,6,85,7.0588,4
Disorder of eye,Age-Related Macular Degeneration,Phase 2,CHANGE FROM BASELINE IN CENTRAL RETINAL THICKNESS,5,85,5.8824,8
Disorder of eye,Age-Related Macular Degeneration,Phase 2,CHANGE IN CENTRAL RETINAL THICKNESS,5,85,5.8824,9
Disorder of eye,Age-Related Macular Degeneration,Phase 3,CHANGE FROM BASELINE IN BEST CORRECTED VISUAL ACUITY,8,61,13.1148,0
Disorder of eye,Age-Related Macular Degeneration,Phase 3,ANTI-DRUG ANTIBODIES,6,61,9.8361,6
Disorder of eye,Age-Related Macular Degeneration,Phase 3,CHANGE FROM BASELINE IN BCVA,6,61,9.8361,3
Disorder of eye,Age-Related Macular Degeneration,Phase 3,CHANGE FROM BASELINE IN CENTRAL SUBFIELD THICKNESS,6,61,9.8361,7
Disorder of eye,Age-Related Macular Degeneration,Phase 3,CHANGE IN BEST CORRECTED VISUAL ACUITY,4,61,6.5574,1
Disorder of eye,Age-Related Macular Degeneration,Phase 3,MEAN CHANGE IN BEST CORRECTED VISUAL ACUITY,4,61,6.5574,2
Disorder of eye,Age-Related Macular Degeneration,Phase 3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,4,61,6.5574,5
Disorder of eye,Age-Related Macular Degeneration,Phase 4,CHANGE IN BEST-CORRECTED VISUAL ACUITY,4,32,12.5000,11
Disorder of eye,Age-Related Macular Degeneration,Phase 4,MEAN CHANGE IN BEST CORRECTED VISUAL ACUITY,4,32,12.5000,2
Disorder of eye,Age-Related Macular Degeneration,Phase 4,MEAN CHANGE IN BEST-CORRECTED VISUAL ACUITY,4,32,12.5000,12
Disorder of eye,Age-Related Macular Degeneration,Phase 4,MEAN CHANGE IN BCVA,3,32,9.3750,14
Disorder of eye,Age-Related Macular Degeneration,Phase 4,MEAN CHANGE IN CENTRAL RETINAL THICKNESS,3,32,9.3750,15
Disorder of eye,Age-Related Macular Degeneration,Phase 4,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,3,32,9.3750,5
Disorder of eye,Age-Related Macular Degeneration,Phase 4,CHANGE FROM BASELINE IN VISUAL ACUITY,2,32,6.2500,17
Mental illness,Alcohol Use Disorder,Phase 1,MAXIMUM PLASMA CONCENTRATION,7,35,20.0000,5
Mental illness,Alcohol Use Disorder,Phase 1,TIME TO MAXIMUM CONCENTRATION,6,35,17.1429,7
Mental illness,Alcohol Use Disorder,Phase 1,ALCOHOL CONSUMPTION,4,35,11.4286,9
Mental illness,Alcohol Use Disorder,Phase 1,ALCOHOL CRAVING SCORE,4,35,11.4286,0
Mental illness,Alcohol Use Disorder,Phase 1,ALCOHOL CRAVING,3,35,8.5714,11
Mental illness,Alcohol Use Disorder,Phase 1,AUC FROM 0 TO INFINITY,3,35,8.5714,12
Mental illness,Alcohol Use Disorder,Phase 1,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,3,35,8.5714,13
Mental illness,Alcohol Use Disorder,Phase 2,ALCOHOL CRAVING SCORE,15,151,9.9338,0
Mental illness,Alcohol Use Disorder,Phase 2,PERCENT HEAVY DRINKING DAYS,9,151,5.9603,1
Mental illness,Alcohol Use Disorder,Phase 2,PERCENTAGE OF HEAVY DRINKING DAYS,9,151,5.9603,2
Mental illness,Alcohol Use Disorder,Phase 2,DRINKS PER DRINKING DAY,7,151,4.6358,4
Mental illness,Alcohol Use Disorder,Phase 2,NUMBER OF DRINKS CONSUMED,6,151,3.9735,6
Mental illness,Alcohol Use Disorder,Phase 2,PERCENT DAYS ABSTINENT,6,151,3.9735,3
Mental illness,Alcohol Use Disorder,Phase 2,PERCENTAGE OF DAYS ABSTINENT,5,151,3.3113,8
Mental illness,Alcohol Use Disorder,Phase 3,CHANGE IN ALT,4,31,12.9032,10
Mental illness,Alcohol Use Disorder,Phase 3,CHANGE FROM BASELINE IN CLINICAL STATUS USING CGI-S,3,31,9.6774,14
Mental illness,Alcohol Use Disorder,Phase 3,CHANGE FROM BASELINE IN HEAVY DRINKING DAYS,3,31,9.6774,15
Mental illness,Alcohol Use Disorder,Phase 3,CHANGE FROM BASELINE IN MONTHLY TOTAL ALCOHOL CONSUMPTION,3,31,9.6774,16
Mental illness,Alcohol Use Disorder,Phase 3,CHANGE IN CLINICAL STATUS USING CGI-I,3,31,9.6774,17
Mental illness,Alcohol Use Disorder,Phase 3,DRINKING RISK LEVEL RESPONSE,3,31,9.6774,18
Mental illness,Alcohol Use Disorder,Phase 3,GAMMA-GLUTAMYL TRANSFERASE VALUES,3,31,9.6774,19
Mental illness,Alcohol Use Disorder,Phase 4,PERCENT HEAVY DRINKING DAYS,3,49,6.1224,1
Mental illness,Alcohol Use Disorder,Phase 4,CARBOHYDRATE-DEFICIENT TRANSFERRIN LEVELS,2,49,4.0816,20
Mental illness,Alcohol Use Disorder,Phase 4,GAMMA-GLUTAMYLTRANSFERASE LEVELS,2,49,4.0816,21
Mental illness,Alcohol Use Disorder,Phase 4,HEAVY DRINKING DAYS,2,49,4.0816,22
Mental illness,Alcohol Use Disorder,Phase 4,MADRS SCORE,2,49,4.0816,23
Mental illness,Alcohol Use Disorder,Phase 4,PERCENT DAYS ABSTINENT,2,49,4.0816,3
Mental illness,Alcohol Use Disorder,Phase 4,PERCENT DAYS ABSTINENT FROM ALCOHOL,2,49,4.0816,24
Respiratory disease,Allergic Asthma,Phase 1,MAXIMUM PLASMA CONCENTRATION,7,22,31.8182,1
Respiratory disease,Allergic Asthma,Phase 1,AUC FROM 0 TO INFINITY,6,22,27.2727,3
Respiratory disease,Allergic Asthma,Phase 1,TIME TO MAXIMUM CONCENTRATION,6,22,27.2727,4
Respiratory disease,Allergic Asthma,Phase 1,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,4,22,18.1818,5
Respiratory disease,Allergic Asthma,Phase 1,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,4,22,18.1818,0
Respiratory disease,Allergic Asthma,Phase 1,VOLUME OF DISTRIBUTION,4,22,18.1818,6
Respiratory disease,Allergic Asthma,Phase 1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,3,22,13.6364,2
Respiratory disease,Allergic Asthma,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,4,43,9.3023,2
Respiratory disease,Allergic Asthma,Phase 2,CHANGE IN TOTAL NASAL SYMPTOM SCORE,3,43,6.9767,11
Respiratory disease,Allergic Asthma,Phase 2,CHANGE IN TOTAL SYMPTOM SCORE,3,43,6.9767,12
Respiratory disease,Allergic Asthma,Phase 2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,3,43,6.9767,0
Respiratory disease,Allergic Asthma,Phase 2,CHANGE FROM BASELINE IN FEV1,2,43,4.6512,15
Respiratory disease,Allergic Asthma,Phase 2,CHANGE FROM BASELINE IN TOTAL NASAL SYMPTOM SCORE,2,43,4.6512,16
Respiratory disease,Allergic Asthma,Phase 2,CHANGE IN ACQ5 SCORE,2,43,4.6512,17
Respiratory disease,Allergic Asthma,Phase 3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,9,58,15.5172,0
Respiratory disease,Allergic Asthma,Phase 3,AREA UNDER THE CURVE FOR FEV1 PERCENT CHANGE,3,58,5.1724,7
Respiratory disease,Allergic Asthma,Phase 3,AUC FOR FEV1 PERCENT CHANGE,3,58,5.1724,8
Respiratory disease,Allergic Asthma,Phase 3,CHANGE IN ACQ SCORE,3,58,5.1724,9
Respiratory disease,Allergic Asthma,Phase 3,CHANGE IN ASTHMA SYMPTOM SCORE,3,58,5.1724,10
Respiratory disease,Allergic Asthma,Phase 3,MAXIMUM PERCENT FALL IN FEV1,3,58,5.1724,13
Respiratory disease,Allergic Asthma,Phase 3,TIME TO RECOVERY FROM FEV1 DECREASE,3,58,5.1724,14
Respiratory disease,Allergic Asthma,Phase 4,MAXIMUM PLASMA CONCENTRATION,2,50,4.0000,1
Respiratory disease,Allergic Asthma,Phase 4,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,2,50,4.0000,2
Respiratory disease,Allergic Asthma,Phase 4,NUMBER OF SUBJECTS WHO PREFERRED DESLORATADINE REDITAB OR ZYRTEC CHEWABLE TABLET,2,50,4.0000,18
Respiratory disease,Allergic Asthma,Phase 4,TOTAL NASAL SYMPTOM SCORE,2,50,4.0000,19
Respiratory disease,Allergic Asthma,Phase 4,ACHIEVEMENT OF TARGET MAINTENANCE SIT DOSE,1,50,2.0000,20
Respiratory disease,Allergic Asthma,Phase 4,ACQ SCORE,1,50,2.0000,21
Respiratory disease,Allergic Asthma,Phase 4,ACUTE REJECTION RATE,1,50,2.0000,22
Respiratory disease,Allergic Rhinitis,Phase 1,% AUCEX OF LEVOCETIRIZINE,1,3,33.3333,17
Respiratory disease,Allergic Rhinitis,Phase 1,APPARENT CLEARANCE FOLLOWING ORAL DOSING,1,3,33.3333,18
Respiratory disease,Allergic Rhinitis,Phase 1,APPARENT TERMINAL PHASE HALF-LIFE,1,3,33.3333,19
Respiratory disease,Allergic Rhinitis,Phase 1,APPARENT VOLUME OF DISTRIBUTION,1,3,33.3333,20
Respiratory disease,Allergic Rhinitis,Phase 1,AUC FROM 0 TO INFINITY,1,3,33.3333,21
Respiratory disease,Allergic Rhinitis,Phase 1,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,1,3,33.3333,22
Respiratory disease,Allergic Rhinitis,Phase 1,AUC(0-T) OF LEVOCETIRIZINE,1,3,33.3333,23
Respiratory disease,Allergic Rhinitis,Phase 2,MAXIMUM PLASMA CONCENTRATION,3,25,12.0000,7
Respiratory disease,Allergic Rhinitis,Phase 2,MEAN CHANGE IN TNSS,3,25,12.0000,8
Respiratory disease,Allergic Rhinitis,Phase 2,CHANGE FROM BASELINE IN ECG VALUES,2,25,8.0000,9
Respiratory disease,Allergic Rhinitis,Phase 2,CHANGE IN NASAL CONGESTION SCORE,2,25,8.0000,12
Respiratory disease,Allergic Rhinitis,Phase 2,NUMBER OF PARTICIPANTS SHOWING IMPROVEMENT IN NRQLQ DOMAINS,2,25,8.0000,15
Respiratory disease,Allergic Rhinitis,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,2,25,8.0000,1
Respiratory disease,Allergic Rhinitis,Phase 2,WEIGHTED MEAN OF TNSS,2,25,8.0000,16
Respiratory disease,Allergic Rhinitis,Phase 3,CHANGE FROM BASELINE IN TOTAL NASAL SYMPTOM SCORE,12,86,13.9535,0
Respiratory disease,Allergic Rhinitis,Phase 3,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,10,86,11.6279,1
Respiratory disease,Allergic Rhinitis,Phase 3,CHANGE IN RQLQ SCORE,8,86,9.3023,4
Respiratory disease,Allergic Rhinitis,Phase 3,CHANGE IN TOTAL NASAL SYMPTOM SCORE,8,86,9.3023,2
Respiratory disease,Allergic Rhinitis,Phase 3,CHANGE FROM BASELINE IN RQLQ SCORE,7,86,8.1395,3
Respiratory disease,Allergic Rhinitis,Phase 3,MEAN CHANGE IN DAYTIME NASAL SYMPTOMS SCORE,7,86,8.1395,5
Respiratory disease,Allergic Rhinitis,Phase 3,PATIENT'S GLOBAL EVALUATION OF ALLERGIC RHINITIS,7,86,8.1395,6
Respiratory disease,Allergic Rhinitis,Phase 4,CHANGE FROM BASELINE IN RQLQ SCORE,2,45,4.4444,3
Respiratory disease,Allergic Rhinitis,Phase 4,CHANGE FROM BASELINE IN TOTAL NASAL SYMPTOM SCORE,2,45,4.4444,0
Respiratory disease,Allergic Rhinitis,Phase 4,CHANGE IN DAYTIME NASAL SYMPTOM SCORE,2,45,4.4444,10
Respiratory disease,Allergic Rhinitis,Phase 4,CHANGE IN HEART RATE,2,45,4.4444,11
Respiratory disease,Allergic Rhinitis,Phase 4,CHANGE IN NIGHTTIME REFLECTIVE TOTAL NASAL SYMPTOM SCORES,2,45,4.4444,13
Respiratory disease,Allergic Rhinitis,Phase 4,CHANGE IN REFLECTIVE TOTAL NASAL SYMPTOM SCORE,2,45,4.4444,14
Respiratory disease,Allergic Rhinitis,Phase 4,CHANGE IN TOTAL NASAL SYMPTOM SCORE,2,45,4.4444,2
Disorder of skin,Alopecia Areata,Phase 1,MAXIMUM PLASMA CONCENTRATION,3,5,60.0000,7
Disorder of skin,Alopecia Areata,Phase 1,APPARENT ORAL CLEARANCE,1,5,20.0000,15
Disorder of skin,Alopecia Areata,Phase 1,AUC0-T OF COMPOUND 31543,1,5,20.0000,16
Disorder of skin,Alopecia Areata,Phase 1,AUC24SS,1,5,20.0000,17
Disorder of skin,Alopecia Areata,Phase 1,BACK PHOTOGRAPHIC REVIEW SCORE,1,5,20.0000,18
Disorder of skin,Alopecia Areata,Phase 1,CHANGE FROM BASELINE IN B LYMPHOCYTES,1,5,20.0000,19
Disorder of skin,Alopecia Areata,Phase 1,CHANGE FROM BASELINE IN IP-10,1,5,20.0000,20
Disorder of skin,Alopecia Areata,Phase 2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,6,43,13.9535,0
Disorder of skin,Alopecia Areata,Phase 2,MEAN CHANGE IN SALT SCORE,5,43,11.6279,2
Disorder of skin,Alopecia Areata,Phase 2,PERCENT CHANGE IN SALT SCORE,5,43,11.6279,3
Disorder of skin,Alopecia Areata,Phase 2,CHANGE FROM BASELINE IN TARGET AREA HAIR COUNT,4,43,9.3023,4
Disorder of skin,Alopecia Areata,Phase 2,CHANGE IN SALT SCORE,4,43,9.3023,1
Disorder of skin,Alopecia Areata,Phase 2,CHANGE FROM BASELINE IN SALT SCORE,3,43,6.9767,5
Disorder of skin,Alopecia Areata,Phase 2,CHANGE FROM BASELINE IN TARGET AREA HAIR DARKNESS,3,43,6.9767,6
Disorder of skin,Alopecia Areata,Phase 3,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,3,23,13.0435,8
Disorder of skin,Alopecia Areata,Phase 3,RELATIVE CHANGE IN SALT SCORE,3,23,13.0435,9
Disorder of skin,Alopecia Areata,Phase 3,CHANGE IN AGA STAGE,2,23,8.6957,10
Disorder of skin,Alopecia Areata,Phase 3,CHANGE IN BELA SCORE,2,23,8.6957,11
Disorder of skin,Alopecia Areata,Phase 3,CHANGE IN BETA SCORE,2,23,8.6957,12
Disorder of skin,Alopecia Areata,Phase 3,CHANGE IN CLINICIAN GLOBAL IMPRESSION OF SEVERITY SCORE,2,23,8.6957,13
Disorder of skin,Alopecia Areata,Phase 3,CHANGE IN DLQI SCORE,2,23,8.6957,14
Disorder of skin,Alopecia Areata,Phase 4,CHANGE IN ALOPECIA AREATA- INVESTIGATOR GLOBAL ASSESSMENT,1,6,16.6667,21
Disorder of skin,Alopecia Areata,Phase 4,CHANGE IN NRS SYMPTOM SEVERITY SCORE,1,6,16.6667,22
Disorder of skin,Alopecia Areata,Phase 4,CHANGE IN PAIN SCORE,1,6,16.6667,23
Disorder of skin,Alopecia Areata,Phase 4,CHANGE IN PATIENT REPORTED HAIR LOSS,1,6,16.6667,24
Disorder of skin,Alopecia Areata,Phase 4,CHANGE IN QUALITY OF LIFE SCORE,1,6,16.6667,25
Disorder of skin,Alopecia Areata,Phase 4,CHANGE IN SALT SCORE,1,6,16.6667,1
Disorder of skin,Alopecia Areata,Phase 4,COMPLETE CLEARANCE OF AK LESIONS,1,6,16.6667,26
Neurological disorder,Alzheimer's Disease,Phase 1,MAXIMUM PLASMA CONCENTRATION,15,54,27.7778,6
Neurological disorder,Alzheimer's Disease,Phase 1,TIME TO MAXIMUM CONCENTRATION,12,54,22.2222,8
Neurological disorder,Alzheimer's Disease,Phase 1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,9,54,16.6667,2
Neurological disorder,Alzheimer's Disease,Phase 1,AUC FROM 0 TO INFINITY,6,54,11.1111,10
Neurological disorder,Alzheimer's Disease,Phase 1,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,6,54,11.1111,11
Neurological disorder,Alzheimer's Disease,Phase 1,CHANGE IN MMSE SCORE,6,54,11.1111,0
Neurological disorder,Alzheimer's Disease,Phase 1,AREA UNDER THE CONCENTRATION-TIME CURVE,5,54,9.2593,13
Neurological disorder,Alzheimer's Disease,Phase 2,CHANGE IN ADAS-COG SCORE,56,174,32.1839,1
Neurological disorder,Alzheimer's Disease,Phase 2,CHANGE IN MMSE SCORE,39,174,22.4138,0
Neurological disorder,Alzheimer's Disease,Phase 2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,18,174,10.3448,4
Neurological disorder,Alzheimer's Disease,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,16,174,9.1954,2
Neurological disorder,Alzheimer's Disease,Phase 2,CHANGE IN CDR-SB SCORE,11,174,6.3218,3
Neurological disorder,Alzheimer's Disease,Phase 2,CHANGE IN ADCS-ADL SCORE,7,174,4.0230,7
Neurological disorder,Alzheimer's Disease,Phase 2,CHANGE IN NPI SCORE,6,174,3.4483,12
Neurological disorder,Alzheimer's Disease,Phase 3,CHANGE IN MMSE SCORE,41,101,40.5941,0
Neurological disorder,Alzheimer's Disease,Phase 3,CHANGE IN ADAS-COG SCORE,38,101,37.6238,1
Neurological disorder,Alzheimer's Disease,Phase 3,CHANGE FROM BASELINE IN CDR-SB SCORE,15,101,14.8515,5
Neurological disorder,Alzheimer's Disease,Phase 3,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,13,101,12.8713,2
Neurological disorder,Alzheimer's Disease,Phase 3,CHANGE IN CDR-SB SCORE,9,101,8.9109,3
Neurological disorder,Alzheimer's Disease,Phase 3,CHANGE IN NPI TOTAL SCORE,9,101,8.9109,9
Neurological disorder,Alzheimer's Disease,Phase 3,CHANGE IN ADCS-ADL SCORE,7,101,6.9307,7
Neurological disorder,Alzheimer's Disease,Phase 4,CHANGE IN MMSE SCORE,17,47,36.1702,0
Neurological disorder,Alzheimer's Disease,Phase 4,CHANGE IN ADAS-COG SCORE,7,47,14.8936,1
Neurological disorder,Alzheimer's Disease,Phase 4,ADCS-CGIC SCORE CHANGE,2,47,4.2553,14
Neurological disorder,Alzheimer's Disease,Phase 4,CHANGE IN ADCS-CGIC SCORE,2,47,4.2553,15
Neurological disorder,Alzheimer's Disease,Phase 4,COMPLIANCE RATE,2,47,4.2553,16
Neurological disorder,Alzheimer's Disease,Phase 4,MEAN CHANGE IN MINI-ZARIT INVENTORY SCORE,2,47,4.2553,17
Neurological disorder,Alzheimer's Disease,Phase 4,MEAN CHANGE IN MMSE SCORE,2,47,4.2553,18
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,6,8,75.0000,2
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 1,MAXIMUM PLASMA CONCENTRATION,4,8,50.0000,3
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 1,TIME TO MAXIMUM CONCENTRATION,4,8,50.0000,12
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 1,APPARENT DISTRIBUTION VOLUME AT ELIMINATION PHASE (VZ/F),2,8,25.0000,13
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 1,APPARENT DISTRIBUTION VOLUME AT STEADY STATE,2,8,25.0000,14
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 1,APPARENT TERMINAL ELIMINATION RATE CONSTANT,2,8,25.0000,15
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 1,APPARENT TOTAL CLEARANCE (CL/F),2,8,25.0000,16
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 2,CHANGE IN ALSFRS-R SCORE,13,69,18.8406,0
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 2,CHANGE IN QUALITY OF LIFE SCORE,7,69,10.1449,5
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,7,69,10.1449,2
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,7,69,10.1449,1
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 2,MAXIMUM PLASMA CONCENTRATION,6,69,8.6957,3
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 2,CHANGE IN SLOW VITAL CAPACITY,5,69,7.2464,7
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 2,CHANGE IN ALSFRS-R TOTAL SCORE,4,69,5.7971,10
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 3,CHANGE FROM BASELINE IN ALSFRS-R SCORE,7,37,18.9189,4
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,7,37,18.9189,1
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 3,CHANGE FROM BASELINE IN PERCENT PREDICTED SLOW VITAL CAPACITY,5,37,13.5135,6
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 3,CHANGE IN ALSFRS-R SCORE,5,37,13.5135,0
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 3,CHANGE FROM BASELINE IN % FORCED VITAL CAPACITY,4,37,10.8108,8
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 3,CHANGE FROM BASELINE IN ALSFRS-R TOTAL SCORE,4,37,10.8108,9
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 3,COMBINED ASSESSMENT OF FUNCTION AND SURVIVAL,4,37,10.8108,11
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 4,CHANGE IN HAM-D SCORE,1,2,50.0000,17
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 4,COMPARISON OF FARS AND ICARS,1,2,50.0000,18
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 4,CRAMP SEVERITY,1,2,50.0000,19
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 4,DAILY MUSCLE CRAMPS,1,2,50.0000,20
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 4,FRIEDREICH ATAXIA RATING SCALE SCORE,1,2,50.0000,21
Neurological disorder,Amyotrophic Lateral Sclerosis,Phase 4,INTERNATIONAL COOPERATIVE ATAXIA RATING SCALE SCORE,1,2,50.0000,22
Blood disease,Anemia,Phase 1,MAXIMUM PLASMA CONCENTRATION,10,12,83.3333,4
Blood disease,Anemia,Phase 1,TIME TO MAXIMUM CONCENTRATION,7,12,58.3333,5
